Id,Dataset,Algo,FeaturesLabels,TimeSteps,ForecastSteps,StacksAndUnits,UseRegularization,UseDropout,Splits,Epochs,Done
2541,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,30,288,100,False,True,3,70,False
2542,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,30,288,100,True,False,3,70,False
2543,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,30,288,100,True,True,3,70,False
2544,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,96,30,25,False,False,3,70,False
2545,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,96,30,25,False,True,3,70,False
2546,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,96,30,25,True,False,3,70,False
2547,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,96,30,25,True,True,3,70,False
2548,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,96,30,100,False,False,3,70,False
2549,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,96,30,100,False,True,3,70,False
2550,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,96,30,100,True,False,3,70,False
2551,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,96,30,100,True,True,3,70,False
2552,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,96,96,25,False,False,3,70,False
2553,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,96,96,25,False,True,3,70,False
2554,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,96,96,25,True,False,3,70,False
2555,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,96,96,25,True,True,3,70,False
2556,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,96,96,100,False,False,3,70,False
2557,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,96,96,100,False,True,3,70,False
2558,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,96,96,100,True,False,3,70,False
2559,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,96,96,100,True,True,3,70,False
2560,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,96,288,25,False,False,3,70,False
2561,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,96,288,25,False,True,3,70,False
2562,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,96,288,25,True,False,3,70,False
2563,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,96,288,25,True,True,3,70,False
2564,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,96,288,100,False,False,3,70,False
2565,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,96,288,100,False,True,3,70,False
2566,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,96,288,100,True,False,3,70,False
2567,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,96,288,100,True,True,3,70,False
2568,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,288,30,25,False,False,3,70,False
2569,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,288,30,25,False,True,3,70,False
2570,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,288,30,25,True,False,3,70,False
2571,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,288,30,25,True,True,3,70,False
2572,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,288,30,100,False,False,3,70,False
2573,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,288,30,100,False,True,3,70,False
2574,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,288,30,100,True,False,3,70,False
2575,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,288,30,100,True,True,3,70,False
2576,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,288,96,25,False,False,3,70,False
2577,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,288,96,25,False,True,3,70,False
2578,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,288,96,25,True,False,3,70,False
2579,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,288,96,25,True,True,3,70,False
